Bankrupt, Current_Ratio, Quick_Ratio, Total_debt_by_Total_networth, Debt_ratio_Percent, Operating_profit_by_Paidin_capital, Total_Asset_Turnover, Working_Capital_to_Total_Assets, Cash_Flow_to_Total_Assets, Cash_Flow_to_Liability, Current_Liability_to_Current_Assets, Gross_Profit_to_Sales
0,0.017914453,0.00827462,0.003616666,0.083713759,0.087172472,0.134932534,0.832136054,0.644161407,0.459641491,0.016375406,0.631466276
0,0.017749711,0.001738019,0.007846141,0.136681077,0.103188562,0.101949025,0.922534614,0.656831595,0.461860245,0.016527162,0.603844426
0,0.017547527,0.008544742,0.004444688,0.096653264,0.101136678,0.151424288,0.798612314,0.64498911,0.459809386,0.016717875,0.600954371
0,0.017516326,0.01415182,0.001180934,0.033709224,0.092855863,0.056971514,0.789364367,0.641647792,0.458392799,0.016747914,0.597677779
0,0.01747202,0.012711997,0.005632005,0.112706715,0.095086879,0.157421289,0.841506676,0.665599729,0.464354316,0.016790119,0.598897642
0,0.01730603,0.002522187,0.004494843,0.097378843,0.092562737,0.103448276,0.825095213,0.623381252,0.454235257,0.016951353,0.594428213
0,0.01729355,0.008757472,0.001697079,0.046165009,0.090502711,0.029985007,0.827921986,0.642291441,0.4589436,0.016963641,0.591955706
0,0.017272333,0.009065025,0.002941847,0.071862624,0.095876692,0.076461769,0.809688727,0.647491713,0.460844363,0.016984429,0.602867368
0,0.017265469,0.011028875,0.001470012,0.040813859,0.090942401,0.107946027,0.811794354,0.657773868,0.467885932,0.016991384,0.594967797
0,0.017240508,0.001526538,0.010300112,0.156906612,0.096047682,0.035982009,0.90495754,0.647428657,0.460006391,0.017016224,0.603197289
0,0.017150649,0.012723226,0.005383963,0.109562536,0.094516912,0.157421289,0.830177957,0.640020607,0.458604799,0.017104794,0.597713166
1,0.017131304,0.016032075,0.002606261,0.065453336,0.087872718,0.107946027,0.862317969,0.68973841,0.476857197,0.017124479,0.59342749
0,0.017063909,0.009316433,0.003789931,0.086555613,0.098172847,0.076461769,0.788843204,0.658066852,0.463641633,0.01719206,0.599209304
0,0.017043941,0.011252834,0.003911216,0.088490492,0.098474115,0.061469265,0.800192112,0.634380696,0.456859967,0.017211889,0.601972621
0,0.017002131,0.013270334,0.004838636,0.102276506,0.099280212,0.113943028,0.815781274,0.638014311,0.45806558,0.017254188,0.60638691
0,0.01698341,0.014125619,0.009468443,0.150648487,0.09964662,0.115442279,0.830806857,0.665574484,0.463106986,0.017273728,0.600638662
0,0.01687483,0.011810547,0.002056375,0.054176618,0.095038025,0.094452774,0.837360635,0.646112895,0.460700856,0.017384546,0.599715508
0,0.016869838,0.012083789,0.003403277,0.08008586,0.094639048,0.088455772,0.80096655,0.644374223,0.459723278,0.017390013,0.598440277
0,0.016806188,0.015637184,0.002542427,0.064213804,0.091805494,0.151424288,0.85435775,0.669632412,0.469487012,0.017455879,0.598794985
0,0.016748154,0.014515519,0.004571444,0.098497445,0.099149934,0.046476762,0.775306441,0.643965751,0.459538818,0.017516192,0.623983014
0,0.016738793,0.014061363,0.001594944,0.043806875,0.087465598,0.065967016,0.787112583,0.642916957,0.459267945,0.017525784,0.596326282
0,0.016698856,0.014383265,0.004653517,0.099676512,0.112055629,0.191904048,0.855304513,0.642729946,0.459224245,0.017567908,0.608863792
0,0.016667655,0.011064434,0.007521498,0.133567131,0.157856596,0.415292354,0.880681898,0.655318121,0.461630948,0.017600333,0.60493646
0,0.016597764,0.006902171,0.005038346,0.105027663,0.09083655,0.035982009,0.921045615,0.719538482,0.477648173,0.017674419,0.61231842
0,0.01642491,0.001567087,0.006021394,0.117422983,0.09369453,0.020989505,0.874539962,0.628757187,0.45622193,0.017860541,0.609370349
0,0.016345035,0.013976521,0.004316107,0.094748617,0.136148973,0.245877061,0.894881444,0.616367113,0.452244855,0.017947251,0.632670135
0,0.016343163,0.008313298,0.005576378,0.112011367,0.089769896,0.070464768,0.915321071,0.708601399,0.474078122,0.017949554,0.61391066
0,0.016293865,0.013822433,0.003213599,0.076790519,0.098498543,0.130434783,0.863427662,0.659282551,0.464560283,0.018003843,0.603899532
0,0.016177173,0.009426229,0.00363764,0.084046316,0.09757031,0.146926537,0.823035447,0.659127511,0.464080089,0.018133106,0.641949545
0,0.01615658,0.007383152,0.003323941,0.078725398,0.114172651,0.125937031,0.816363502,0.639850773,0.458302724,0.018156638,0.618451696
0,0.016112898,0.006616452,0.00374707,0.085860265,0.097969287,0.08095952,0.784919304,0.640733486,0.458636164,0.018205564,0.59888889
0,0.016051744,0.008123026,0.003478055,0.081385857,0.094590193,0.064467766,0.814712471,0.643484698,0.459444428,0.018274974,0.601086231
